"provinsi","kabupaten","id"
LAMPUNG,PESISIR BARAT,"205"
KALIMANTAN UTARA,TARAKAN,"206"
NUSA TENGGARA TIMUR,BELU,"207"
SULAWESI TENGGARA,KOLAKA,"208"
JAWA BARAT,CIMAHI,"209"
SUMATERA UTARA,MANDAILING NATAL,"210"
PAPUA,MIMIKA,"211"
KALIMANTAN TIMUR,KUTAI KARTANEGARA,"212"
SULAWESI SELATAN,LUWU UTARA,"213"
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,"214"
SUMATERA UTARA,GUNUNGSITOLI,"215"
JAWA TENGAH,WONOGIRI,"216"
PAPUA,SARMI,"217"
BALI,GIANYAR,"218"
JAWA BARAT,MAJALENGKA,"219"
JAWA BARAT,BANJAR,"220"
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,"221"
SUMATERA SELATAN,PRABUMULIH,"222"
JAWA TIMUR,BOJONEGORO,"223"
JAWA BARAT,BANDUNG,"224"
BENGKULU,BENGKULU UTARA,"225"
SULAWESI TENGAH,BANGGAI KEPULAUAN,"226"
GORONTALO,BONE BOLANGO,"227"
SULAWESI TENGGARA,KONAWE KEPULAUAN,"228"
PAPUA,BIAK NUMFOR,"229"
JAWA TIMUR,MAGETAN,"230"
SUMATERA UTARA,SERDANG BEDAGAI,"231"
JAWA TIMUR,PACITAN,"232"
JAWA BARAT,DEPOK,"233"
JAWA TIMUR,BLITAR,"234"
KALIMANTAN SELATAN,BALANGAN,"235"
JAWA BARAT,KARAWANG,"236"
MALUKU UTARA,HALMAHERA TENGAH,"237"
KEPULAUAN RIAU,BINTAN,"352"
SUMATERA SELATAN,OGAN KOMERING ILIR,"238"
SULAWESI SELATAN,TANA TORAJA,"239"
LAMPUNG,LAMPUNG UTARA,"240"
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,"241"
PAPUA BARAT,SORONG SELATAN,"242"
SUMATERA UTARA,TAPANULI UTARA,"243"
JAWA TIMUR,SUMENEP,"244"
SULAWESI TENGAH,TOLI-TOLI,"245"
SULAWESI TENGGARA,BUTON,"246"
JAMBI,TEBO,"247"
SULAWESI SELATAN,BONE,"248"
KALIMANTAN TIMUR,PASER,"249"
SULAWESI SELATAN,BULUKUMBA,"250"
NUSA TENGGARA TIMUR,SUMBA TENGAH,"251"
KALIMANTAN TENGAH,PALANGKA RAYA,"252"
BALI,KARANG ASEM,"253"
SUMATERA SELATAN,MUSI RAWAS UTARA,"254"
KALIMANTAN SELATAN,BARITO KUALA,"255"
DKI JAKARTA,JAKARTA UTARA,"256"
PAPUA,YALIMO,"257"
SUMATERA UTARA,SIMALUNGUN,"258"
KALIMANTAN BARAT,KETAPANG,"259"
JAWA TENGAH,CILACAP,"260"
PAPUA BARAT,PEGUNUNGAN ARFAK,"261"
SULAWESI SELATAN,LUWU TIMUR,"262"
SULAWESI UTARA,KEPULAUAN SANGIHE,"263"
JAWA TENGAH,KEBUMEN,"264"
JAWA TIMUR,BANGKALAN,"265"
PAPUA,DOGIYAI,"266"
NUSA TENGGARA TIMUR,ALOR,"267"
JAWA TENGAH,KARANGANYAR,"268"
SUMATERA UTARA,PADANG LAWAS UTARA,"269"
SUMATERA BARAT,PADANG PARIAMAN,"270"
BENGKULU,LEBONG,"271"
SUMATERA SELATAN,OGAN KOMERING ULU,"272"
ACEH,PIDIE,"273"
PAPUA,MERAUKE,"274"
JAMBI,JAMBI,"275"
MALUKU,TUAL,"276"
MALUKU,SERAM BAGIAN TIMUR,"277"
LAMPUNG,PESAWARAN,"278"
DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA,"279"
KALIMANTAN TIMUR,KUTAI TIMUR,"280"
SULAWESI TENGAH,MOROWALI,"281"
JAWA TENGAH,BOYOLALI,"282"
SUMATERA BARAT,LIMA PULUH KOTA,"283"
JAWA TIMUR,MADIUN,"284"
KALIMANTAN TIMUR,KUTAI BARAT,"285"
