"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"162",PAPUA BARAT,MAYBRAT,AIFAT SELATAN,"51"
"163",NUSA TENGGARA BARAT,BIMA,AMBALAWI,"82"
"164",JAWA BARAT,BEKASI,BEKASI BARAT,"452"
"165",JAWA BARAT,INDRAMAYU,ARAHAN,"293"
"166",SULAWESI UTARA,MINAHASA SELATAN,KUMELEMBUAI,"164"
"167",SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII TENGGARA,"228"
"168",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,LOKSADO,"108"
"169",JAWA TENGAH,CILACAP,CIMANGGU,"260"
"170",BANTEN,PANDEGLANG,CIKEDAL,"154"
"171",JAWA TIMUR,PASURUAN,PUSPO,"183"
"172",SULAWESI TENGAH,BANGGAI KEPULAUAN,BULAGI SELATAN,"226"
"173",KALIMANTAN TIMUR,KUTAI KARTANEGARA,TABANG,"212"
"174",SUMATERA UTARA,KARO,TIGAPANAH,"22"
"175",PAPUA,TOLIKARA,PANAGA,"141"
"176",RIAU,D U M A I,MEDANG KAMPAI,"490"
"177",SULAWESI TENGGARA,KOLAKA TIMUR,TINONDO,"110"
"178",JAWA BARAT,BANDUNG,UJUNG BERUNG,"224"
"179",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,SUNGAI ARE,"470"
"180",SUMATERA BARAT,PASAMAN,PANTI,"438"
"181",JAMBI,TANJUNG JABUNG TIMUR,KUALA JAMBI,"379"
"182",SUMATERA BARAT,AGAM,LUBUK BASUNG,"59"
"183",SUMATERA SELATAN,EMPAT LAWANG,SALING,"459"
"184",JAWA TIMUR,SITUBONDO,JATIBANTENG,"360"
"185",KALIMANTAN TENGAH,KOTAWARINGIN BARAT,KUMAI,"159"
"186",ACEH,ACEH TIMUR,PEUREULAK TIMUR,"486"
"187",GORONTALO,GORONTALO,BILUHU,"53"
"188",JAWA TIMUR,SITUBONDO,PANARUKAN,"360"
"189",SULAWESI TENGGARA,KOLAKA TIMUR,ULUIWOI,"110"
"190",PAPUA,ASMAT,PANTAI KASUARI,"413"
"191",JAWA BARAT,BEKASI,JATIASIH,"452"
"192",SULAWESI UTARA,MINAHASA,PINELENG,"358"
"193",PAPUA BARAT,PEGUNUNGAN ARFAK,HINGK,"261"
"194",SUMATERA UTARA,SIMALUNGUN,BANDAR MASILAM,"258"
"195",ACEH,PIDIE,GEUMPANG,"273"
"196",KALIMANTAN UTARA,MALINAU,MENTARANG HULU,"342"
"197",GORONTALO,POHUWATO,DUHIADAA,"317"
"198",KALIMANTAN UTARA,NUNUKAN,SEBUKU,"46"
"199",KEPULAUAN BANGKA BELITUNG,BELITUNG,SIJUK,"73"
"200",NUSA TENGGARA TIMUR,ALOR,ALOR TIMUR LAUT,"267"
"201",SULAWESI SELATAN,ENREKANG,BUNTU BATU,"140"
"202",JAWA BARAT,SUKABUMI,CICANTAYAN,"324"
"203",NUSA TENGGARA TIMUR,SIKKA,TANA WAWO,"170"
"204",ACEH,PIDIE,GLUMPANG BARO,"273"
"205",LAMPUNG,LAMPUNG UTARA,HULUSUNGKAI,"240"
"206",SUMATERA UTARA,SERDANG BEDAGAI,PERBAUNGAN,"231"
"207",LAMPUNG,TULANG BAWANG BARAT,GUNUNG TERANG,"478"
"208",SUMATERA BARAT,LIMA PULUH KOTA,GUNUANG OMEH,"283"
"209",JAWA TENGAH,DEMAK,KARANGAWEN,"189"
"210",JAWA TIMUR,BOJONEGORO,SEKAR,"223"
"211",KALIMANTAN TENGAH,BARITO UTARA,GUNUNG TIMANG,"101"
"212",SULAWESI UTARA,SIAU TAGULANDANG BIARO,SIAU TIMUR,"165"
"213",SULAWESI SELATAN,TANA TORAJA,MASANDA,"239"
"214",SUMATERA UTARA,HUMBANG HASUNDUTAN,LINTONG NIHUTA,"299"
"215",LAMPUNG,PESISIR BARAT,KRUI SELATAN,"205"
