"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"4111",SULAWESI TENGGARA,KONAWE UTARA,LASOLO,"477"
"4112",BANTEN,LEBAK,MALINGPING,"338"
"4113",SULAWESI SELATAN,LUWU TIMUR,BURAU,"262"
"4114",LAMPUNG,LAMPUNG TENGAH,WAY SEPUTIH,"13"
"4331",BENGKULU,KAUR,KELAM TENGAH,"436"
"4115",RIAU,ROKAN HULU,PENDALIAN IV KOTO,"412"
"4116",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BELITANG III,"339"
"4117",JAWA TENGAH,CILACAP,KAWUNGANTEN,"260"
"4118",KALIMANTAN SELATAN,TABALONG,BANUA LAWAS,"4"
"4119",JAWA TENGAH,TEMANGGUNG,BANSARI,"398"
"4120",JAWA BARAT,MAJALENGKA,CIKIJING,"219"
"4121",LAMPUNG,PESAWARAN,MARGA PUNDUH,"278"
"4122",JAWA BARAT,GARUT,CIBATU,"175"
"4123",JAWA TIMUR,SITUBONDO,BESUKI,"360"
"4124",JAWA BARAT,CIREBON,KALIWEDI,"447"
"4125",JAWA BARAT,SUKABUMI,CISAAT,"324"
"4126",JAWA TENGAH,BREBES,KERSANA,"107"
"4127",KALIMANTAN SELATAN,TABALONG,KELUA,"4"
"4128",KALIMANTAN BARAT,LANDAK,SEBANGKI,"75"
"4129",LAMPUNG,BANDAR LAMPUNG,WAY HALIM,"336"
"4130",LAMPUNG,TULANGBAWANG,DENTE TELADAS,"79"
"4131",RIAU,KAMPAR,KAMPAR,"311"
"4132",JAWA TIMUR,KEDIRI,KANDANGAN,"376"
"4133",JAWA TENGAH,PURBALINGGA,KARANGMONCOL,"47"
"4134",BALI,GIANYAR,GIANYAR,"218"
"4135",KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,"352"
"4136",ACEH,ACEH TAMIANG,RANTAU,"463"
"4137",SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,"263"
"4138",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,WEWEWA TIMUR,"416"
"4139",LAMPUNG,PESISIR BARAT,BENGKUNAT,"205"
"4140",JAWA TENGAH,SRAGEN,SIDOHARJO,"62"
"4141",SULAWESI SELATAN,MAROS,CAMBA,"112"
"4142",JAWA TIMUR,MAGETAN,PLAOSAN,"230"
"4143",MALUKU UTARA,HALMAHERA UTARA,GALELA,"396"
"4144",JAWA BARAT,INDRAMAYU,KARANGAMPEL,"293"
"4145",KALIMANTAN TENGAH,MURUNG RAYA,MURUNG,"378"
"4146",PAPUA,TOLIKARA,WUNIN,"141"
"4147",KALIMANTAN TENGAH,KATINGAN,SANAMAN MANTIKEI,"381"
"4148",JAMBI,TEBO,RIMBO ULU,"247"
"4149",KALIMANTAN TIMUR,SAMARINDA,SAMARINDA ULU,"105"
"4150",ACEH,ACEH TAMIANG,KOTA KUALA SIMPANG,"463"
"4151",PAPUA BARAT,KAIMANA,BURUWAY,"337"
"4152",LAMPUNG,PESAWARAN,HUTAN,"278"
"4153",BENGKULU,BENGKULU UTARA,ULOK KUPAI,"225"
"4154",JAMBI,SUNGAI PENUH,KUMUN DEBAI,"354"
"4155",JAWA TIMUR,JOMBANG,MOJOWARNO,"67"
"4156",JAWA TENGAH,BOYOLALI,WONOSEGORO,"282"
"4157",JAWA BARAT,CIANJUR,SUKALUYU,"188"
"4158",KALIMANTAN TENGAH,KAPUAS,DADAHUP,"334"
"4159",JAWA TIMUR,MOJOKERTO,DLANGGU,"434"
"4160",JAWA TENGAH,KLATEN,JOGONALAN,"465"
"4161",KALIMANTAN SELATAN,BANJARMASIN,BANJARMASIN BARAT,"184"
"4162",BANTEN,TANGERANG,PAKUHAJI,"344"
"4163",KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN BARAT,"3"
"4164",MALUKU,MALUKU TENGAH,SERAM UTARA TIMUR KOBI,"16"
"4165",SUMATERA SELATAN,BANYU ASIN,BANYUASIN II,"461"
"4166",JAWA TENGAH,CILACAP,KARANGPUCUNG,"260"
"4167",SUMATERA UTARA,TANJUNG BALAI,SEI TUALANG RASO,"454"
"4168",MALUKU,TUAL,TAYANDO TAM,"276"
"4169",JAWA TENGAH,WONOSOBO,MOJOTENGAH,"415"
"4170",NUSA TENGGARA TIMUR,ENDE,ENDE UTARA,"419"
"4171",SUMATERA SELATAN,BANYU ASIN,TANJUNG LAGO,"461"
"4172",BANTEN,TANGERANG,CISAUK,"344"
"4173",JAWA TENGAH,KLATEN,KLATEN SELATAN,"465"
"4174",NUSA TENGGARA TIMUR,FLORES TIMUR,WOTAN ULU MADO,"138"
"4175",JAWA BARAT,KARAWANG,CIBUAYA,"236"
"4176",JAWA TIMUR,BLITAR,BAKUNG,"234"
"4177",GORONTALO,BONE BOLANGO,SUWAWA SELATAN,"227"
"4178",DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,"312"
"4179",ACEH,ACEH BESAR,MESJID RAYA,"310"
"4180",JAWA TIMUR,PROBOLINGGO,KEDOPOK,"466"
"4181",JAMBI,SAROLANGUN,BATANG ASAI,"437"
"4182",KALIMANTAN SELATAN,BARITO KUALA,BAKUMPAI,"255"
"4183",JAWA BARAT,SUMEDANG,TANJUNGMEDAR,"456"
"4184",JAWA BARAT,CIANJUR,AGRABINTA,"188"
"4185",JAWA TIMUR,MALANG,BULULAWANG,"39"
"4186",JAWA TENGAH,BATANG,REBAN,"196"
"4187",SULAWESI UTARA,BOLAANG MONGONDOW,LOLAK,"30"
"4188",PAPUA,PANIAI,BIBIDA,"122"
"4189",SUMATERA UTARA,SIMALUNGUN,BANDAR HULUAN,"258"
"4190",PAPUA,BOVEN DIGOEL,FOFI,"422"
"4191",ACEH,ACEH TENGAH,LINGE,"15"
"4192",JAWA TENGAH,BANYUMAS,PATIKRAJA,"341"
"4193",SUMATERA BARAT,LIMA PULUH KOTA,HARAU,"283"
"4194",JAWA BARAT,BEKASI,CIKARANG TIMUR,"452"
"4195",BANTEN,SERANG,CIOMAS,"198"
"4196",SULAWESI TENGGARA,BOMBANA,KABAENA SELATAN,"92"
"4197",SULAWESI SELATAN,TORAJA UTARA,NANGGALA,"286"
"4198",JAWA TIMUR,BONDOWOSO,CURAH DAMI,"429"
"4199",JAWA TIMUR,PROBOLINGGO,SUMBERASIH,"466"
"4200",BALI,TABANAN,KERAMBITAN,"361"
"4201",JAWA TENGAH,KEBUMEN,ALIAN,"264"
"4202",BENGKULU,KAUR,SEMIDANG GUMAY,"436"
"4203",SULAWESI SELATAN,PINRANG,DUAMPANUA,"322"
"4204",RIAU,ROKAN HILIR,BALAI JAYA,"291"
"4205",LAMPUNG,TULANGBAWANG,RAWAJITU TIMUR,"79"
"4206",NUSA TENGGARA TIMUR,BELU,ATAMBUA BARAT,"207"
"4207",JAWA TENGAH,TEGAL,ADIWERNA,"88"
"4208",ACEH,LANGSA,LANGSA BARAT,"347"
"4209",JAWA TENGAH,DEMAK,DEMAK,"189"
"4210",KALIMANTAN UTARA,MALINAU,MALINAU KOTA,"342"
"4211",KALIMANTAN TIMUR,KUTAI KARTANEGARA,TENGGARONG SEBERANG,"212"
"4212",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,MUARADUA,"470"
"4213",SULAWESI SELATAN,ENREKANG,BARAKA,"140"
"4214",SUMATERA BARAT,PADANG PARIAMAN,SUNGAI GERINGGING,"270"
"4215",SULAWESI TENGAH,POSO,PAMONA TENGGARA,"136"
"4216",BENGKULU,KAUR,PADANG GUCI HULU,"436"
"4217",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BELITANG JAYA,"339"
"4218",PAPUA,JAYAPURA,NIMBORAN TIMUR / NAMBLONG,"115"
"4219",MALUKU UTARA,KEPULAUAN SULA,SANANA,"287"
"4220",MALUKU,MALUKU TENGAH,KOTA MASOHI,"16"
"4221",SULAWESI UTARA,KEPULAUAN TALAUD,MELONGUANE TIMUR,"162"
"4222",SUMATERA UTARA,LANGKAT,GEBANG,"481"
"4223",KALIMANTAN BARAT,SAMBAS,SEJANGKUNG,"121"
"4224",KALIMANTAN SELATAN,HULU SUNGAI TENGAH,HANTAKAN,"221"
"4225",BENGKULU,BENGKULU TENGAH,TABA PENANJUNG,"190"
"4226",PAPUA BARAT,SORONG SELATAN,KOKODA UTARA,"242"
"4228",SUMATERA UTARA,SERDANG BEDAGAI,SERBAJADI,"231"
"4229",SULAWESI UTARA,MINAHASA,LANGOWAN TIMUR,"358"
"4230",JAWA TENGAH,BOYOLALI,SAMBI,"282"
"4231",JAWA BARAT,BANDUNG,RANCABALI,"224"
"4232",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BUAY RAWAN,"470"
"4233",SULAWESI TENGGARA,KONAWE UTARA,WIWIRANO,"477"
"4234",KALIMANTAN SELATAN,TANAH BUMBU,SATUI,"31"
"4235",PAPUA,JAYAWIJAYA,SIEPKOSI,"181"
"4236",PAPUA,YAHUKIMO,DURAM,"397"
"4237",SUMATERA SELATAN,LAHAT,GUMAY TALANG,"297"
"4238",JAWA TIMUR,GRESIK,MANYAR,"383"
"4239",JAWA BARAT,CIREBON,KARANGSEMBUNG,"447"
"4240",PAPUA,JAYAWIJAYA,WOUMA,"181"
"4241",DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,"43"
"4242",NUSA TENGGARA TIMUR,MALAKA,BOTIN LEOBELE,"35"
"4243",JAWA TENGAH,BANYUMAS,KARANGLEWAS,"341"
"4244",KALIMANTAN SELATAN,TABALONG,MUARA HARUS,"4"
"4245",PAPUA,MAMBERAMO RAYA,MAMBERAMO ULU,"116"
"4246",MALUKU,SERAM BAGIAN TIMUR,WERINAMA,"277"
"4247",SULAWESI SELATAN,TANA TORAJA,KURRA,"239"
"4248",JAWA TIMUR,BLITAR,PANGGUNGREJO,"234"
"4249",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,KODI BANGEDO,"416"
"4250",KALIMANTAN TENGAH,PALANGKA RAYA,RAKUMPIT,"252"
"4251",JAWA BARAT,BANDUNG,KIARACONDONG,"224"
"4252",SUMATERA BARAT,PADANG,PADANG UTARA,"329"
"4253",JAWA TIMUR,KEDIRI,GROGOL,"376"
"4254",DKI JAKARTA,JAKARTA BARAT,CENGKARENG,"312"
"4255",LAMPUNG,LAMPUNG TENGAH,SEPUTIH RAMAN,"13"
"4256",SULAWESI TENGGARA,MUNA,DURUKA,"388"
"4257",ACEH,SABANG,SUKAJAYA,"289"
"4258",JAWA BARAT,PURWAKARTA,PONDOK SALAM,"60"
"4259",JAWA TENGAH,SEMARANG,TUNTANG,"201"
"4260",NUSA TENGGARA TIMUR,MANGGARAI,WAE RII,"443"
"4261",JAMBI,MERANGIN,BANGKO,"384"
"4262",SULAWESI TENGGARA,KOLAKA TIMUR,MOWEWE,"110"
"4263",JAWA BARAT,INDRAMAYU,LOSARANG,"293"
"4264",JAWA TENGAH,REMBANG,SULANG,"325"
"4265",JAWA TIMUR,TRENGGALEK,GANDUSARI,"160"
"4266",BANTEN,TANGERANG SELATAN,CIPUTAT,"137"
"4267",KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,TEMPILANG,"332"
"4268",DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,KALASAN,"483"
"4269",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,DAHA UTARA,"108"
"4270",PAPUA,MIMIKA,KUALA KENCANA,"211"
"4271",MALUKU,MALUKU BARAT DAYA,WETAR BARAT,"426"
"4272",JAWA TIMUR,BONDOWOSO,SUMBER WRINGIN,"429"
"4273",MALUKU UTARA,KEPULAUAN SULA,MANGOLI SELATAN,"287"
"4274",LAMPUNG,BANDAR LAMPUNG,BUMI WARAS,"336"
"4275",KALIMANTAN TIMUR,KUTAI KARTANEGARA,ANGGANA,"212"
"4276",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,KODI BALAGHAR,"416"
"4277",JAWA TIMUR,LUMAJANG,TEMPEH,"391"
"4278",KALIMANTAN TENGAH,BARITO SELATAN,DUSUN UTARA,"476"
"4280",BALI,BADUNG,PETANG,"120"
"4281",NUSA TENGGARA TIMUR,MALAKA,KOBALIMA,"35"
"4282",LAMPUNG,TULANG BAWANG BARAT,BATU PUTIH,"478"
"4283",ACEH,ACEH TENGAH,LUT TAWAR,"15"
"4284",LAMPUNG,LAMPUNG UTARA,ABUNG TIMUR,"240"
"4285",KALIMANTAN SELATAN,BARITO KUALA,ANJIR PASAR,"255"
"4286",KALIMANTAN SELATAN,KOTA BARU,PAMUKAN UTARA,"373"
"4287",JAWA TENGAH,KLATEN,WONOSARI,"465"
"4288",SULAWESI SELATAN,BONE,PATIMPENG,"248"
"4289",SULAWESI TENGGARA,BOMBANA,KABAENA UTARA,"92"
"4290",JAMBI,BUNGO,JUJUHAN ILIR,"86"
"4291",SUMATERA UTARA,LABUHAN BATU,BILAH BARAT,"303"
"4292",LAMPUNG,LAMPUNG UTARA,KOTABUMI UTARA,"240"
"4293",JAWA TIMUR,PONOROGO,JETIS,"18"
"4294",JAWA TENGAH,KEBUMEN,ROWOKELE,"264"
"4295",JAWA TIMUR,MALANG,SUMBERMANJING,"39"
"4296",DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,"128"
"4297",PAPUA,PEGUNUNGAN BINTANG,WEIME,"304"
"4298",PAPUA,YAHUKIMO,PRONGGOLI,"397"
"4299",KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,SIMPANG TERITIP,"332"
"4300",SULAWESI UTARA,KOTAMOBAGU,KOTAMOBAGU TIMUR,"474"
"4301",PAPUA BARAT,SORONG,MARIAT,"55"
"4302",PAPUA BARAT,RAJA AMPAT,TELUK MAYALIBIT,"319"
"4303",JAMBI,JAMBI,PELAYANGAN,"275"
"4304",SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN UTARA,"210"
"4305",PAPUA,DEIYAI,KAPIRAYA,"433"
"4306",KALIMANTAN BARAT,KETAPANG,TUMBANG TITI,"259"
"4307",JAWA TIMUR,PONOROGO,SAWOO,"18"
"4308",ACEH,ACEH TIMUR,DARUL FALAH,"486"
"4309",NUSA TENGGARA TIMUR,MANGGARAI BARAT,WELAK,"430"
"4310",ACEH,GAYO LUES,KUTA PANJANG,"17"
"4311",JAWA TIMUR,GRESIK,KEBOMAS,"383"
"4312",JAWA TIMUR,JOMBANG,NGORO,"67"
"4313",MALUKU UTARA,PULAU TALIABU,LEDE,"68"
"4540",PAPUA,PUNCAK,BEOGA,"330"
"4314",PAPUA,TOLIKARA,WAKUO,"141"
"4315",KEPULAUAN RIAU,NATUNA,BUNGURAN BATUBI,"400"
"4316",JAWA TIMUR,JEMBER,PATRANG,"26"
"4317",JAWA TIMUR,LUMAJANG,RANDUAGUNG,"391"
"4318",JAWA TIMUR,KEDIRI,GAMPENGREJO,"376"
"4319",PAPUA BARAT,TAMBRAUW,AMBERBAKEN,"355"
"4320",MALUKU UTARA,HALMAHERA SELATAN,GANE TIMUR SELATAN,"97"
"4321",SULAWESI TENGGARA,MUNA BARAT,SAWERIGADI,"402"
"4322",SULAWESI SELATAN,BONE,TELLU LIMPOE,"248"
"4323",JAWA TIMUR,BANYUWANGI,GENTENG,"331"
"4324",SULAWESI TENGAH,BANGGAI,NAMBO,"386"
"4325",JAWA TIMUR,BANYUWANGI,SONGGON,"331"
"4326",NUSA TENGGARA TIMUR,FLORES TIMUR,WULANGGITANG,"138"
"4327",SUMATERA UTARA,ASAHAN,SILAU LAUT,"409"
"4328",SUMATERA SELATAN,OGAN ILIR,PAYARAMAN,"32"
"4329",JAWA TIMUR,JEMBER,SILO,"26"
"4330",SUMATERA SELATAN,EMPAT LAWANG,PENDOPO,"459"
"4332",SUMATERA SELATAN,OGAN KOMERING ULU,PENINJAUAN,"272"
"4333",SUMATERA BARAT,LIMA PULUH KOTA,SULIKI,"283"
"4334",SULAWESI SELATAN,GOWA,PARIGI,"48"
"4335",SULAWESI TENGAH,DONGGALA,LABUAN,"372"
"4336",PAPUA,NDUGA,MAPENDUMA,"40"
"4337",PAPUA,MAPPI,NAMBIOMAN BAPAI,"151"
"4338",PAPUA,JAYAWIJAYA,MULIAMA,"181"
"4339",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,MIOMAFFO TENGAH,"96"
"4340",LAMPUNG,MESUJI,RAWAJITU UTARA,"464"
"4341",JAWA TIMUR,MALANG,GONDANGLEGI,"39"
"4342",SULAWESI SELATAN,LUWU,LAROMPONG SELATAN,"292"
"4343",SUMATERA SELATAN,LUBUKLINGGAU,LUBUK LINGGAU UTARA II,"134"
"4344",ACEH,ACEH UTARA,KUTA MAKMUR,"323"
"4345",JAWA TENGAH,BLORA,KRADENAN,"295"
"4346",BENGKULU,BENGKULU,SUNGAI SERUT,"369"
"4347",KALIMANTAN BARAT,KUBU RAYA,KUBU,"36"
"4348",SULAWESI UTARA,BITUNG,MAESA,"424"
"4349",JAWA BARAT,BANDUNG,SOREANG,"224"
"4350",SULAWESI SELATAN,WAJO,BELAWA,"130"
"4351",JAWA TENGAH,BOYOLALI,AMPEL,"282"
"4352",ACEH,BENER MERIAH,TIMANG GAJAH,"366"
"4353",KEPULAUAN RIAU,KEPULAUAN ANAMBAS,SIANTAN TENGAH,"241"
"4354",SULAWESI TENGGARA,BOMBANA,KEP. MASALOKA RAYA,"92"
"4355",JAWA TENGAH,PATI,KAYEN,"87"
"4356",JAWA TIMUR,JEMBER,RAMBIPUJI,"26"
"4357",SUMATERA UTARA,DAIRI,SUMBUL,"371"
"4358",NUSA TENGGARA TIMUR,MANGGARAI,RUTENG,"443"
"4359",JAWA TENGAH,BOYOLALI,ANDONG,"282"
"4360",RIAU,INDRAGIRI HULU,BATANG PERANAP,"5"
"4361",PAPUA,MERAUKE,KAPTEL,"274"
"4362",PAPUA,KEPULAUAN YAPEN,POOM,"296"
"4363",SULAWESI SELATAN,BULUKUMBA,GANTARANG,"250"
"4364",JAWA BARAT,PANGANDARAN,CIMERAK,"180"
"4365",MALUKU UTARA,HALMAHERA UTARA,TOBELO TIMUR,"396"
"4366",SULAWESI SELATAN,KEPULAUAN SELAYAR,PASIMASSUNGGU TIMUR,"458"
"4367",JAWA TIMUR,LAMONGAN,NGIMBANG,"94"
"4368",SUMATERA SELATAN,LAHAT,LAHAT,"297"
"4369",SULAWESI UTARA,MANADO,SARIO,"414"
"4370",DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,SEYEGAN,"483"
"4371",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,"119"
"4372",SULAWESI SELATAN,TORAJA UTARA,RANTEBUA,"286"
"4373",JAWA TENGAH,SURAKARTA,PASAR KLIWON,"133"
"4374",SUMATERA BARAT,PESISIR SELATAN,IV  NAGARI BAYANG UTARA,"375"
"4375",KALIMANTAN SELATAN,HULU SUNGAI UTARA,AMUNTAI SELATAN,"90"
"4376",JAWA BARAT,TASIKMALAYA,TAMANSARI,"395"
"4377",KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,"11"
"4378",JAWA TENGAH,MAGELANG,MAGELANG SELATAN,"318"
"4379",JAWA TENGAH,KENDAL,GEMUH,"27"
"4380",JAWA TENGAH,JEPARA,BANGSRI,"294"
"4381",LAMPUNG,LAMPUNG BARAT,LUMBOK SEMINUNG,"172"
"4382",KEPULAUAN RIAU,BATAM,SEKUPANG,"132"
"4383",KALIMANTAN TIMUR,KUTAI TIMUR,MUARA WAHAU,"280"
"4384",SUMATERA BARAT,DHARMASRAYA,SITIUNG,"313"
"4385",SUMATERA UTARA,NIAS,HILIDUHO,"479"
"4386",RIAU,KEPULAUAN MERANTI,RANGSANG BARAT,"102"
"4387",PAPUA,ASMAT,SURU-SURU,"413"
"4388",JAWA BARAT,MAJALENGKA,MALAUSMA,"219"
"4389",SULAWESI TENGAH,BUOL,MOMUNU,"45"
"4390",MALUKU UTARA,HALMAHERA SELATAN,BATANG LOMANG,"97"
"4391",JAWA BARAT,MAJALENGKA,KADIPATEN,"219"
"4392",KALIMANTAN TENGAH,GUNUNG MAS,RUNGAN HULU,"104"
"4393",JAWA TIMUR,BLITAR,WLINGI,"234"
"4394",ACEH,PIDIE,MANE,"273"
"4395",MALUKU UTARA,KEPULAUAN SULA,SULA BESI TENGAH,"287"
"4396",JAWA TIMUR,JEMBER,BANGSALSARI,"26"
"4397",SUMATERA BARAT,SOLOK SELATAN,SANGIR BALAI JANGGO,"453"
"4398",MALUKU UTARA,HALMAHERA SELATAN,KAYOA,"97"
"4399",KALIMANTAN SELATAN,BANJAR,MATARAMAN,"425"
"4400",JAWA BARAT,BOGOR,RUMPIN,"69"
"4401",NUSA TENGGARA BARAT,LOMBOK UTARA,BAYAN,"21"
"4402",GORONTALO,GORONTALO,DUNGINGI,"53"
"4403",JAWA TENGAH,PURBALINGGA,REMBANG,"47"
"4404",SUMATERA BARAT,PADANG PARIAMAN,BATANG GASAN,"270"
"4405",KALIMANTAN TIMUR,MAHAKAM HULU,LONG HUBUNG,"142"
"4406",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,AMANATUN SELATAN,"119"
"4407",KALIMANTAN SELATAN,HULU SUNGAI UTARA,HAUR GADING,"90"
"4408",JAWA TENGAH,KENDAL,SUKOREJO,"27"
"4409",SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,"263"
"4410",SUMATERA SELATAN,OGAN ILIR,INDRALAYA UTARA,"32"
"4411",JAWA TIMUR,MADIUN,SARADAN,"284"
"4649",PAPUA,MIMIKA,JILA,"211"
"4412",PAPUA BARAT,MANOKWARI,MANOKWARI TIMUR,"100"
"4413",JAWA BARAT,PURWAKARTA,PURWAKARTA,"60"
"4414",SULAWESI TENGGARA,MUNA BARAT,TIWORO TENGAH,"402"
"4415",SULAWESI TENGAH,DONGGALA,BALAESANG,"372"
"4416",KALIMANTAN TENGAH,BARITO TIMUR,RAREN BATUAH,"305"
"4417",NUSA TENGGARA TIMUR,ALOR,ALOR TENGAH UTARA,"267"
"4418",JAWA TIMUR,MALANG,KARANGPLOSO,"39"
"4419",BENGKULU,SELUMA,SELUMA UTARA,"63"
"4420",KALIMANTAN BARAT,SINGKAWANG,SINGKAWANG TENGAH,"24"
"4421",JAWA TENGAH,WONOGIRI,BULUKERTO,"216"
"4422",SUMATERA SELATAN,BANYU ASIN,SUAK TAPEH,"461"
"4423",MALUKU,MALUKU TENGGARA,KEI BESAR SELATAN BARAT,"157"
"4424",SUMATERA BARAT,AGAM,PALEMBAYAN,"59"
"4425",ACEH,SIMEULUE,TEUPAH BARAT,"335"
"4426",SUMATERA UTARA,ASAHAN,SEI KEPAYANG TIMUR,"409"
"4427",NUSA TENGGARA TIMUR,ENDE,NDONA,"419"
"4428",NUSA TENGGARA BARAT,LOMBOK TIMUR,SIKUR,"193"
"4429",BENGKULU,REJANG LEBONG,BINDU RIANG,"191"
"4430",SULAWESI BARAT,MAMUJU,SAMPAGA,"23"
"4431",KALIMANTAN TIMUR,PENAJAM PASER UTARA,PENAJAM,"143"
"4432",LAMPUNG,MESUJI,SIMPANG PEMATANG,"464"
"4433",SUMATERA UTARA,PADANGSIDIMPUAN,PADANGSIDIMPUAN HUTAIMBARU,"127"
"4434",JAWA TIMUR,LUMAJANG,KLAKAH,"391"
"4435",SULAWESI TENGGARA,MUNA,MAROBO,"388"
"4436",JAWA BARAT,KUNINGAN,LEBAKWANGI,"14"
"4437",BENGKULU,KAUR,KAUR UTARA,"436"
"4438",JAWA TIMUR,PONOROGO,BADEGAN,"18"
"4439",JAWA BARAT,SUKABUMI,PARUNG KUDA,"324"
"4440",PAPUA,KEPULAUAN YAPEN,KEP. AMBAI,"296"
"4441",JAWA TIMUR,MADIUN,KEBONSARI,"284"
"4442",JAWA TIMUR,JEMBER,TEMPUREJO,"26"
"4443",JAWA TIMUR,BOJONEGORO,KEPOH BARU,"223"
"4444",JAMBI,TANJUNG JABUNG TIMUR,BERBAK,"379"
"4445",JAWA TENGAH,SEMARANG,JAMBU,"201"
"4446",SUMATERA UTARA,LABUHAN BATU,PANAI TENGAH,"303"
"4447",KALIMANTAN SELATAN,BANJAR,BERUNTUNG BARU,"425"
"4448",MALUKU,KEPULAUAN ARU,ARU TENGAH SELATAN,"204"
"4449",NUSA TENGGARA TIMUR,ROTE NDAO,ROTE TIMUR,"480"
"4450",MALUKU,MALUKU TENGGARA,KEI KECIL,"157"
"4451",KALIMANTAN SELATAN,KOTA BARU,KELUMPANG HULU,"373"
"4452",SULAWESI SELATAN,SOPPENG,LALABATA,"83"
"4453",SULAWESI UTARA,MINAHASA SELATAN,MOTOLING BARAT,"164"
"4454",PAPUA,DOGIYAI,DOGIYAI,"266"
"4455",JAWA TIMUR,NGANJUK,WILANGAN,"473"
"4456",SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,"409"
"4457",BENGKULU,SELUMA,SELUMA TIMUR,"63"
"4458",JAWA BARAT,SUBANG,PABUARAN,"457"
"4459",MALUKU UTARA,HALMAHERA UTARA,HUTAN,"396"
"4460",JAWA BARAT,TASIKMALAYA,CIBEUREUM,"395"
"4461",JAWA BARAT,SUKABUMI,PURABAYA,"324"
"4462",MALUKU UTARA,KEPULAUAN SULA,MANGOLI BARAT,"287"
"4463",BALI,BULELENG,BUSUNGBIU,"19"
"4464",JAWA TIMUR,SUMENEP,BLUTO,"244"
"4465",JAWA TENGAH,MAGELANG,MUNGKID,"318"
"4466",JAWA BARAT,BANDUNG,MARGAHAYU,"224"
"4467",JAWA TENGAH,KENDAL,KOTA KENDAL,"27"
"4468",LAMPUNG,TANGGAMUS,AIR NANINGAN,"496"
"4469",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,SUNGAI RAYA,"108"
"4470",MALUKU UTARA,HALMAHERA SELATAN,MAKIAN BARAT,"97"
"4471",SULAWESI TENGAH,PALU,TAWAELI,"487"
"4472",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,MOLLO SELATAN,"119"
"4473",JAWA BARAT,CIANJUR,CAMPAKA MULYA,"188"
"4474",JAMBI,KERINCI,KAYU ARO,"179"
"4475",JAWA TENGAH,REMBANG,BULU,"325"
"4476",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,FATUMNASI,"119"
"4477",JAWA BARAT,TASIKMALAYA,CIPEDES,"395"
"4478",JAWA TENGAH,JEPARA,PAKIS AJI,"294"
"4479",JAWA BARAT,GARUT,SUKAWENING,"175"
"4480",SUMATERA SELATAN,MUARA ENIM,LUBAI ULU,"484"
"4481",JAWA TIMUR,PASURUAN,PANDAAN,"183"
"4482",KALIMANTAN SELATAN,TABALONG,JARO,"4"
"4483",NUSA TENGGARA TIMUR,BELU,TASIFETO TIMUR,"207"
"4484",BENGKULU,BENGKULU UTARA,TANJUNG AGUNG PALIK,"225"
"4485",JAWA TENGAH,BATANG,PECALUNGAN,"196"
"4486",SULAWESI TENGGARA,KONAWE,SOROPIA,"174"
"4487",JAWA TIMUR,PONOROGO,SAMBIT,"18"
"4488",JAWA TIMUR,LAMONGAN,SUGIO,"94"
"4489",BANTEN,LEBAK,RANGKASBITUNG,"338"
"4490",JAWA TENGAH,CILACAP,NUSAWUNGU,"260"
"4491",NUSA TENGGARA TIMUR,BELU,ATAMBUA SELATAN,"207"
"4492",KALIMANTAN SELATAN,TABALONG,MUARA UYA,"4"
"4493",DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA,TEGALREJO,"279"
"4494",JAWA BARAT,GARUT,PANGATIKAN,"175"
"4496",KALIMANTAN UTARA,NUNUKAN,SEMBAKUNG,"46"
"4497",JAWA TIMUR,SUMENEP,GANDING,"244"
"4498",JAWA BARAT,KUNINGAN,MALEBER,"14"
"4499",JAWA TENGAH,WONOGIRI,JATIROTO,"216"
